Taps,Mu_M,Mu_C,Median_MSE,Stability
32,0.001,1e-06,0.12904233005143695,PASS
32,0.001,2.6826957952797274e-06,0.1326655710243361,PASS
32,0.001,7.196856730011514e-06,0.12136330481127625,PASS
32,0.001,1.9306977288832496e-05,1.3867669820927278,FAIL
32,0.001,5.1794746792312125e-05,499.77560415608923,FAIL
32,0.001,0.00013894954943731373,7.603871467116212,FAIL
32,0.001,0.0003727593720314938,501.79686945870725,FAIL
32,0.001,0.001,999.0,FAIL
32,0.0019306977288832496,1e-06,0.13046365749675848,PASS
32,0.0019306977288832496,2.6826957952797274e-06,0.12321020872267269,PASS
32,0.0019306977288832496,7.196856730011514e-06,0.12812508322224597,PASS
32,0.0019306977288832496,1.9306977288832496e-05,0.2981106414746752,PASS
32,0.0019306977288832496,5.1794746792312125e-05,1.7663877923477762,FAIL
32,0.0019306977288832496,0.00013894954943731373,499.8521401589688,FAIL
32,0.0019306977288832496,0.0003727593720314938,999.0,FAIL
32,0.0019306977288832496,0.001,999.0,FAIL
32,0.003727593720314938,1e-06,0.1286307616008055,PASS
32,0.003727593720314938,2.6826957952797274e-06,0.12094352104978565,PASS
32,0.003727593720314938,7.196856730011514e-06,0.10928245863291575,PASS
32,0.003727593720314938,1.9306977288832496e-05,0.7464708654785366,FAIL
32,0.003727593720314938,5.1794746792312125e-05,21.50189437957566,FAIL
32,0.003727593720314938,0.00013894954943731373,1.9886300925084233,FAIL
32,0.003727593720314938,0.0003727593720314938,999.0,FAIL
32,0.003727593720314938,0.001,1.8615899962170288,FAIL
32,0.0071968567300115215,1e-06,0.13457216616346318,PASS
32,0.0071968567300115215,2.6826957952797274e-06,0.13240071326262706,PASS
32,0.0071968567300115215,7.196856730011514e-06,0.11470835808956795,PASS
32,0.0071968567300115215,1.9306977288832496e-05,0.24696758335887684,PASS
32,0.0071968567300115215,5.1794746792312125e-05,5.208642108536516,FAIL
32,0.0071968567300115215,0.00013894954943731373,42.161657011052654,FAIL
32,0.0071968567300115215,0.0003727593720314938,500.6557157774313,FAIL
32,0.0071968567300115215,0.001,999.0,FAIL
32,0.013894954943731374,1e-06,0.12711307184678833,PASS
32,0.013894954943731374,2.6826957952797274e-06,0.12176431491971376,PASS
32,0.013894954943731374,7.196856730011514e-06,0.1335769310356279,PASS
32,0.013894954943731374,1.9306977288832496e-05,0.17402760248781934,PASS
32,0.013894954943731374,5.1794746792312125e-05,0.8671241464228807,FAIL
32,0.013894954943731374,0.00013894954943731373,3.6117419776794777,FAIL
32,0.013894954943731374,0.0003727593720314938,503.05878235726817,FAIL
32,0.013894954943731374,0.001,503.79743575134376,FAIL
32,0.026826957952797246,1e-06,0.13243069216794762,PASS
32,0.026826957952797246,2.6826957952797274e-06,0.12790950963717485,PASS
32,0.026826957952797246,7.196856730011514e-06,0.13155874273099116,PASS
32,0.026826957952797246,1.9306977288832496e-05,0.11642213657991746,PASS
32,0.026826957952797246,5.1794746792312125e-05,0.5412666199797946,PASS
32,0.026826957952797246,0.00013894954943731373,1.8451876587561615,FAIL
32,0.026826957952797246,0.0003727593720314938,6.4991068711247015,FAIL
32,0.026826957952797246,0.001,519.4397551830592,FAIL
32,0.0517947467923121,1e-06,0.12915304984217346,PASS
32,0.0517947467923121,2.6826957952797274e-06,0.12763592834271872,PASS
32,0.0517947467923121,7.196856730011514e-06,0.11937687777091491,PASS
32,0.0517947467923121,1.9306977288832496e-05,0.13799767316929965,PASS
32,0.0517947467923121,5.1794746792312125e-05,0.45268772367303134,PASS
32,0.0517947467923121,0.00013894954943731373,0.28985804755023037,PASS
32,0.0517947467923121,0.0003727593720314938,37.46330442000085,FAIL
32,0.0517947467923121,0.001,500.1166743396505,FAIL
32,0.1,1e-06,0.13122875159198064,PASS
32,0.1,2.6826957952797274e-06,0.12765728440729796,PASS
32,0.1,7.196856730011514e-06,0.12370373974055462,PASS
32,0.1,1.9306977288832496e-05,0.11698540183087916,PASS
32,0.1,5.1794746792312125e-05,0.19821101507368719,PASS
32,0.1,0.00013894954943731373,0.4563735986694617,PASS
32,0.1,0.0003727593720314938,9.213409294277952,FAIL
32,0.1,0.001,69.27892313374969,FAIL
64,0.001,1e-06,0.13219917199278977,PASS
64,0.001,2.6826957952797274e-06,0.13725139890514673,PASS
64,0.001,7.196856730011514e-06,0.12356000706899435,PASS
64,0.001,1.9306977288832496e-05,0.3394301328250282,PASS
64,0.001,5.1794746792312125e-05,499.5706924448358,FAIL
64,0.001,0.00013894954943731373,499.5656680027868,FAIL
64,0.001,0.0003727593720314938,999.0,FAIL
64,0.001,0.001,501.75891124883407,FAIL
64,0.0019306977288832496,1e-06,0.13005488746901145,PASS
64,0.0019306977288832496,2.6826957952797274e-06,0.1281192502322454,PASS
64,0.0019306977288832496,7.196856730011514e-06,0.1366143767063595,PASS
64,0.0019306977288832496,1.9306977288832496e-05,0.6785321283609939,FAIL
64,0.0019306977288832496,5.1794746792312125e-05,15.536672682707446,FAIL
64,0.0019306977288832496,0.00013894954943731373,2.7716110136126515,FAIL
64,0.0019306977288832496,0.0003727593720314938,0.9563482678028563,FAIL
64,0.0019306977288832496,0.001,999.0,FAIL
64,0.003727593720314938,1e-06,0.13229154525565937,PASS
64,0.003727593720314938,2.6826957952797274e-06,0.1489649944090487,PASS
64,0.003727593720314938,7.196856730011514e-06,0.18412281916992704,PASS
64,0.003727593720314938,1.9306977288832496e-05,0.268230461176397,PASS
64,0.003727593720314938,5.1794746792312125e-05,3.1245294695971806,FAIL
64,0.003727593720314938,0.00013894954943731373,499.83128091449424,FAIL
64,0.003727593720314938,0.0003727593720314938,500.8743872617915,FAIL
64,0.003727593720314938,0.001,500.9233835452222,FAIL
64,0.0071968567300115215,1e-06,0.1329634362863206,PASS
64,0.0071968567300115215,2.6826957952797274e-06,0.13530726938821025,PASS
64,0.0071968567300115215,7.196856730011514e-06,0.13397190751340432,PASS
64,0.0071968567300115215,1.9306977288832496e-05,0.2254156732955036,PASS
64,0.0071968567300115215,5.1794746792312125e-05,0.4347660218283644,PASS
64,0.0071968567300115215,0.00013894954943731373,7.477222643707993,FAIL
64,0.0071968567300115215,0.0003727593720314938,999.0,FAIL
64,0.0071968567300115215,0.001,999.0,FAIL
64,0.013894954943731374,1e-06,0.12822348331233535,PASS
64,0.013894954943731374,2.6826957952797274e-06,0.12764460799997113,PASS
64,0.013894954943731374,7.196856730011514e-06,0.13571199724730426,PASS
64,0.013894954943731374,1.9306977288832496e-05,0.17936670682194455,PASS
64,0.013894954943731374,5.1794746792312125e-05,3.7395281040957657,FAIL
64,0.013894954943731374,0.00013894954943731373,3.078905033148216,FAIL
64,0.013894954943731374,0.0003727593720314938,514.7644680987954,FAIL
64,0.013894954943731374,0.001,500.684935935857,FAIL
64,0.026826957952797246,1e-06,0.13047905025392464,PASS
64,0.026826957952797246,2.6826957952797274e-06,0.1298877035331016,PASS
64,0.026826957952797246,7.196856730011514e-06,0.12904908573867255,PASS
64,0.026826957952797246,1.9306977288832496e-05,0.15799131496435048,PASS
64,0.026826957952797246,5.1794746792312125e-05,0.20314660464436615,PASS
64,0.026826957952797246,0.00013894954943731373,33.84449570403862,FAIL
64,0.026826957952797246,0.0003727593720314938,501.0693442567808,FAIL
64,0.026826957952797246,0.001,999.0,FAIL
64,0.0517947467923121,1e-06,0.12964618037243505,PASS
64,0.0517947467923121,2.6826957952797274e-06,0.12752365902378474,PASS
64,0.0517947467923121,7.196856730011514e-06,0.12593468116946124,PASS
64,0.0517947467923121,1.9306977288832496e-05,0.22723052981814257,PASS
64,0.0517947467923121,5.1794746792312125e-05,0.1969343542288624,PASS
64,0.0517947467923121,0.00013894954943731373,1.1647188475229195,FAIL
64,0.0517947467923121,0.0003727593720314938,15.240118778981971,FAIL
64,0.0517947467923121,0.001,500.3333408278745,FAIL
64,0.1,1e-06,0.1304096914157517,PASS
64,0.1,2.6826957952797274e-06,0.13084281961401392,PASS
64,0.1,7.196856730011514e-06,0.14314656304236262,PASS
64,0.1,1.9306977288832496e-05,0.1486659385769956,PASS
64,0.1,5.1794746792312125e-05,0.15731422750521717,PASS
64,0.1,0.00013894954943731373,0.7502488691051252,FAIL
64,0.1,0.0003727593720314938,33.37358208113483,FAIL
64,0.1,0.001,1.258309327320398,FAIL
128,0.001,1e-06,0.13244228246170403,PASS
128,0.001,2.6826957952797274e-06,0.13156181499744957,PASS
128,0.001,7.196856730011514e-06,0.12410485029849644,PASS
128,0.001,1.9306977288832496e-05,0.25236087962204146,PASS
128,0.001,5.1794746792312125e-05,0.196702720437135,PASS
128,0.001,0.00013894954943731373,0.2318902514240515,PASS
128,0.001,0.0003727593720314938,999.0,FAIL
128,0.001,0.001,999.0,FAIL
128,0.0019306977288832496,1e-06,0.13556749577410027,PASS
128,0.0019306977288832496,2.6826957952797274e-06,0.1307916289773965,PASS
128,0.0019306977288832496,7.196856730011514e-06,0.12841507459602003,PASS
128,0.0019306977288832496,1.9306977288832496e-05,0.17205032394747644,PASS
128,0.0019306977288832496,5.1794746792312125e-05,0.19140360005179502,PASS
128,0.0019306977288832496,0.00013894954943731373,26.368291410589528,FAIL
128,0.0019306977288832496,0.0003727593720314938,0.24901961926066196,PASS
128,0.0019306977288832496,0.001,0.39958391787570713,PASS
128,0.003727593720314938,1e-06,0.132708039736188,PASS
128,0.003727593720314938,2.6826957952797274e-06,0.14549829945858245,PASS
128,0.003727593720314938,7.196856730011514e-06,0.1904259055357709,PASS
128,0.003727593720314938,1.9306977288832496e-05,0.22871187573393434,PASS
128,0.003727593720314938,5.1794746792312125e-05,0.2513136310509297,PASS
128,0.003727593720314938,0.00013894954943731373,0.20131735638574544,PASS
128,0.003727593720314938,0.0003727593720314938,499.95322184650774,FAIL
128,0.003727593720314938,0.001,504.88776007622437,FAIL
128,0.0071968567300115215,1e-06,0.1328747721360565,PASS
128,0.0071968567300115215,2.6826957952797274e-06,0.1491177739589295,PASS
128,0.0071968567300115215,7.196856730011514e-06,0.15123129289104575,PASS
128,0.0071968567300115215,1.9306977288832496e-05,0.26464762462113034,PASS
128,0.0071968567300115215,5.1794746792312125e-05,0.5447544125478231,PASS
128,0.0071968567300115215,0.00013894954943731373,1.3922636997885884,FAIL
128,0.0071968567300115215,0.0003727593720314938,999.0,FAIL
128,0.0071968567300115215,0.001,499.63448128552625,FAIL
128,0.013894954943731374,1e-06,0.13581682946805979,PASS
128,0.013894954943731374,2.6826957952797274e-06,0.13076994027593472,PASS
128,0.013894954943731374,7.196856730011514e-06,0.1565300706075748,PASS
128,0.013894954943731374,1.9306977288832496e-05,0.1796629088582204,PASS
128,0.013894954943731374,5.1794746792312125e-05,0.23309012722852746,PASS
128,0.013894954943731374,0.00013894954943731373,0.846060226970488,FAIL
128,0.013894954943731374,0.0003727593720314938,0.49278193130505965,PASS
128,0.013894954943731374,0.001,33.194996836066096,FAIL
128,0.026826957952797246,1e-06,0.13401190815480263,PASS
128,0.026826957952797246,2.6826957952797274e-06,0.1421273163685553,PASS
128,0.026826957952797246,7.196856730011514e-06,0.14385743401368334,PASS
128,0.026826957952797246,1.9306977288832496e-05,0.15498396264698577,PASS
128,0.026826957952797246,5.1794746792312125e-05,0.26056353518661146,PASS
128,0.026826957952797246,0.00013894954943731373,0.5040444871678119,PASS
128,0.026826957952797246,0.0003727593720314938,0.8097510916596697,FAIL
128,0.026826957952797246,0.001,2.6013379323769903,FAIL
128,0.0517947467923121,1e-06,0.13289319704747857,PASS
128,0.0517947467923121,2.6826957952797274e-06,0.1325359076742555,PASS
128,0.0517947467923121,7.196856730011514e-06,0.13886201681331733,PASS
128,0.0517947467923121,1.9306977288832496e-05,0.1687618803607404,PASS
128,0.0517947467923121,5.1794746792312125e-05,0.3122750588741688,PASS
128,0.0517947467923121,0.00013894954943731373,0.3667002505582707,PASS
128,0.0517947467923121,0.0003727593720314938,0.9116256105977285,FAIL
128,0.0517947467923121,0.001,1.6536933885066611,FAIL
128,0.1,1e-06,0.13262490290264767,PASS
128,0.1,2.6826957952797274e-06,0.1344063716899259,PASS
128,0.1,7.196856730011514e-06,0.1359098573026693,PASS
128,0.1,1.9306977288832496e-05,0.12982302360353987,PASS
128,0.1,5.1794746792312125e-05,0.2273670825312965,PASS
128,0.1,0.00013894954943731373,0.42564819973892154,PASS
128,0.1,0.0003727593720314938,11.194149274789822,FAIL
128,0.1,0.001,2.2987362499814195,FAIL
256,0.001,1e-06,0.13238496453382792,PASS
256,0.001,2.6826957952797274e-06,0.13346280901873414,PASS
256,0.001,7.196856730011514e-06,0.13723341134167186,PASS
256,0.001,1.9306977288832496e-05,0.14168590109232182,PASS
256,0.001,5.1794746792312125e-05,0.15283020583686924,PASS
256,0.001,0.00013894954943731373,2.596815879519293,FAIL
256,0.001,0.0003727593720314938,999.0,FAIL
256,0.001,0.001,499.6446306049635,FAIL
256,0.0019306977288832496,1e-06,0.13265102239561755,PASS
256,0.0019306977288832496,2.6826957952797274e-06,0.1346885882173232,PASS
256,0.0019306977288832496,7.196856730011514e-06,0.14340546646251023,PASS
256,0.0019306977288832496,1.9306977288832496e-05,0.19904802010809253,PASS
256,0.0019306977288832496,5.1794746792312125e-05,0.2711762537617308,PASS
256,0.0019306977288832496,0.00013894954943731373,6.543336649157961,FAIL
256,0.0019306977288832496,0.0003727593720314938,999.0,FAIL
256,0.0019306977288832496,0.001,999.0,FAIL
256,0.003727593720314938,1e-06,0.13443892565699764,PASS
256,0.003727593720314938,2.6826957952797274e-06,0.13886901850051922,PASS
256,0.003727593720314938,7.196856730011514e-06,0.14777085676107865,PASS
256,0.003727593720314938,1.9306977288832496e-05,0.24550684975896145,PASS
256,0.003727593720314938,5.1794746792312125e-05,1.0636727766996856,FAIL
256,0.003727593720314938,0.00013894954943731373,6.112000945138265,FAIL
256,0.003727593720314938,0.0003727593720314938,999.0,FAIL
256,0.003727593720314938,0.001,999.0,FAIL
256,0.0071968567300115215,1e-06,0.13327618784007722,PASS
256,0.0071968567300115215,2.6826957952797274e-06,0.13988434910131936,PASS
256,0.0071968567300115215,7.196856730011514e-06,0.15064669951929305,PASS
256,0.0071968567300115215,1.9306977288832496e-05,0.29807473791912015,PASS
256,0.0071968567300115215,5.1794746792312125e-05,2.712231258334341,FAIL
256,0.0071968567300115215,0.00013894954943731373,505.6185694674463,FAIL
256,0.0071968567300115215,0.0003727593720314938,518.9545091108512,FAIL
256,0.0071968567300115215,0.001,2.3965123850408703,FAIL
256,0.013894954943731374,1e-06,0.13373180239889781,PASS
256,0.013894954943731374,2.6826957952797274e-06,0.13347981411638543,PASS
256,0.013894954943731374,7.196856730011514e-06,0.1642036619089033,PASS
256,0.013894954943731374,1.9306977288832496e-05,0.20828803868418022,PASS
256,0.013894954943731374,5.1794746792312125e-05,0.4145919788452187,PASS
256,0.013894954943731374,0.00013894954943731373,12.374230980502857,FAIL
256,0.013894954943731374,0.0003727593720314938,501.6881780488417,FAIL
256,0.013894954943731374,0.001,509.43172489839407,FAIL
256,0.026826957952797246,1e-06,0.13285477959085357,PASS
256,0.026826957952797246,2.6826957952797274e-06,0.1352365874140523,PASS
256,0.026826957952797246,7.196856730011514e-06,0.14737320654361258,PASS
256,0.026826957952797246,1.9306977288832496e-05,0.18860617077716121,PASS
256,0.026826957952797246,5.1794746792312125e-05,0.34964115612121804,PASS
256,0.026826957952797246,0.00013894954943731373,5.519177736284742,FAIL
256,0.026826957952797246,0.0003727593720314938,999.0,FAIL
256,0.026826957952797246,0.001,0.7913937939430238,FAIL
256,0.0517947467923121,1e-06,0.13209377271232922,PASS
256,0.0517947467923121,2.6826957952797274e-06,0.13466998694974558,PASS
256,0.0517947467923121,7.196856730011514e-06,0.14165281493903512,PASS
256,0.0517947467923121,1.9306977288832496e-05,0.1879893927018672,PASS
256,0.0517947467923121,5.1794746792312125e-05,0.21906715838290616,PASS
256,0.0517947467923121,0.00013894954943731373,0.9281527827561682,FAIL
256,0.0517947467923121,0.0003727593720314938,3.5925424987385775,FAIL
256,0.0517947467923121,0.001,499.894320721788,FAIL
256,0.1,1e-06,0.1319726487496629,PASS
256,0.1,2.6826957952797274e-06,0.1321908124969675,PASS
256,0.1,7.196856730011514e-06,0.13464582677869807,PASS
256,0.1,1.9306977288832496e-05,0.15932784650753345,PASS
256,0.1,5.1794746792312125e-05,0.22315116999047668,PASS
256,0.1,0.00013894954943731373,0.23490518638430888,PASS
256,0.1,0.0003727593720314938,0.5458882375749223,PASS
256,0.1,0.001,999.0,FAIL
